fold,model,accuracy,F,train_time,params
1,PSO-FFNN (A),0.77,0.34094876888353637,3.624497175216675,325
1,MOPSO-FFNN-AD (C),0.7633333333333333,0.3373915177712602,11.454395055770874,325
1,CNN-1D,0.8466666666666667,0.17257068350656193,19.985897541046143,2373
1,LSTM,0.81,0.18879849692185113,5.410466909408569,13093
1,Transformer,0.77,0.16837207129216022,10.005126237869263,18437
2,PSO-FFNN (A),0.7466666666666667,0.3636962744696058,3.32393217086792,325
2,MOPSO-FFNN-AD (C),0.67,0.3539470777363031,10.87066125869751,325
2,CNN-1D,0.7466666666666667,0.2165644950959133,17.94191575050354,2373
2,LSTM,0.7466666666666667,0.21032404175749675,5.410327672958374,13093
2,Transformer,0.7633333333333333,0.17810575989253463,9.608235359191895,18437
3,PSO-FFNN (A),0.7333333333333333,0.35832512138535055,3.0686326026916504,325
3,MOPSO-FFNN-AD (C),0.6866666666666666,0.3362262191214445,10.456133365631104,325
3,CNN-1D,0.7333333333333333,0.22271902423928774,18.76145911216736,2373
3,LSTM,0.7333333333333333,0.22253893725632856,5.2389607429504395,13093
3,Transformer,0.7333333333333333,0.1768807577280912,9.777161598205566,18437
4,PSO-FFNN (A),0.7733333333333333,0.3279701871411875,3.158707618713379,325
4,MOPSO-FFNN-AD (C),0.64,0.3880887840664959,9.953008651733398,325
4,CNN-1D,0.7733333333333333,0.19475994314245168,19.344960689544678,2373
4,LSTM,0.81,0.19244633150682505,5.42919135093689,13093
4,Transformer,0.7766666666666666,0.1704788585921838,9.758579730987549,18437
5,PSO-FFNN (A),0.7533333333333333,0.35630512520304036,3.0730509757995605,325
5,MOPSO-FFNN-AD (C),0.5966666666666667,0.39212504967588413,10.654077053070068,325
5,CNN-1D,0.7566666666666667,0.20073466478848928,18.26372456550598,2373
5,LSTM,0.76,0.20372001537860068,5.719186782836914,13093
5,Transformer,0.76,0.1691345221530514,9.775874137878418,18437
6,PSO-FFNN (A),0.72,0.36587615737833135,3.169156312942505,325
6,MOPSO-FFNN-AD (C),0.73,0.3755971286471682,10.43330454826355,325
6,CNN-1D,0.7666666666666667,0.20413550869043598,20.152117013931274,2373
6,LSTM,0.7633333333333333,0.21251963949712754,5.277984142303467,13093
6,Transformer,0.8666666666666667,0.13842662238206194,10.030665397644043,18437
7,PSO-FFNN (A),0.7833333333333333,0.3374661854690066,3.353151798248291,325
7,MOPSO-FFNN-AD (C),0.6066666666666667,0.41562702891714365,9.871582984924316,325
7,CNN-1D,0.7833333333333333,0.20101980275699374,20.325658559799194,2373
7,LSTM,0.85,0.1640183328353566,5.847652196884155,13093
7,Transformer,0.85,0.15482577893446353,10.13744854927063,18437
8,PSO-FFNN (A),0.7433333333333333,0.38266384883633003,3.175018548965454,325
8,MOPSO-FFNN-AD (C),0.59,0.42812075762065477,10.590569496154785,325
8,CNN-1D,0.83,0.17436326597709473,20.318682193756104,2373
8,LSTM,0.75,0.21291811880893075,5.72862982749939,13093
8,Transformer,0.81,0.17984718351349444,9.871505498886108,18437
9,PSO-FFNN (A),0.76,0.3392536563949849,3.2032999992370605,325
9,MOPSO-FFNN-AD (C),0.45666666666666667,0.4063976886408689,10.121979236602783,325
9,CNN-1D,0.77,0.20118371345348313,19.805426120758057,2373
9,LSTM,0.77,0.1983449128888548,5.635945796966553,13093
9,Transformer,0.77,0.16497961767636643,9.236854314804077,18437
10,PSO-FFNN (A),0.7066666666666667,0.3710790607432896,3.3665406703948975,325
10,MOPSO-FFNN-AD (C),0.5566666666666666,0.3827465220110128,11.96788239479065,325
10,CNN-1D,0.7533333333333333,0.20884349631863813,4.80741810798645,2373
10,LSTM,0.7533333333333333,0.2027831511568629,6.015937328338623,13093
10,Transformer,0.7566666666666667,0.185444149988711,10.394983768463135,18437
